province,year,wage_region,informal_rate,min_wage_nominal,cpi_index,cpi_2018_base,real_min_wage,log_real_min_wage,min_wage_growth,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons,log_employed_persons
An Giang,2018,II,84.97,3530000,159.06964122458,100.0,3530000.0,15.07680842890948,0.0,2.51,73.36,13.6,1064.06,6.969847059289122
An Giang,2019,II,82.15,3710000,163.51694791292,102.79582367452576,3609096.038518722,15.098967894110077,0.02240680977867493,3.18,87.28,14.6,972.16,6.879520399967353
An Giang,2020,II,86.35,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,2.53,92.31,13.86,962.3,6.869326252362355
An Giang,2021,II,85.91,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,4.52,103.09,13.38,883.74,6.784162901729506
An Giang,2022,II,83.0,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,3.32,110.67,14.53,902.82,6.805523197998842
An Giang,2023,II,81.15,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,3.27,124.24,15.45,900.13,6.802539197337661
An Giang,2024,II,83.14,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,3.57,140.11,16.23,900.66,6.8031278279001395
Ba Ria - Vung Tau,2018,I,64.13,3980000,159.06964122458,100.0,3980000.0,15.196792377260621,0.0,2.36,584.21,25.9,603.2,6.402248816693747
Ba Ria - Vung Tau,2019,I,64.81,4180000,163.51694791292,102.79582367452576,4066313.0568755413,15.218247264027399,0.021686697707422375,2.08,565.8,27.8,611.71,6.416258313997843
Ba Ria - Vung Tau,2020,I,64.59,4420000,168.78372148334,106.106809686611,4165613.887604929,15.242374214703926,0.02442036049376095,3.56,507.86,30.07,577.6,6.358881587578616
Ba Ria - Vung Tau,2021,I,64.68,4420000,171.88042266406,108.05356782152622,4090563.6797672277,15.224193337536809,-0.018016602081392663,9.18,619.56,29.89,565.0,6.336825731146441
Ba Ria - Vung Tau,2022,I,62.96,4550000,177.30584109585,111.46428679343252,4082024.952469427,15.222103735138102,-0.002087420699507736,2.81,675.54,28.04,623.3,6.435027943814805
Ba Ria - Vung Tau,2023,I,59.09,4680000,183.07341008214,115.0901005828451,4066379.2770180125,15.218263548952427,-0.003832822100205413,2.89,657.16,28.77,612.55,6.41763057174018
Ba Ria - Vung Tau,2024,I,60.96,4820000,189.7026680414,119.2576198581923,4041670.465779377,15.21216864610592,-0.006076366604139016,2.48,656.74,30.06,616.6,6.42422051545205
Bac Giang,2018,II,65.47,3530000,159.06964122458,100.0,3530000.0,15.07680842890948,0.0,1.1,83.8,16.7,1078.52,6.983345009931724
Bac Giang,2019,II,67.08,3710000,163.51694791292,102.79582367452576,3609096.038518722,15.098967894110077,0.02240680977867493,1.37,95.02,18.0,1099.78,7.002865438783795
Bac Giang,2020,II,62.81,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,0.79,110.39,19.83,1095.16,6.998655750297762
Bac Giang,2021,II,61.31,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,1.64,139.55,26.72,945.3,6.851502337431339
Bac Giang,2022,II,56.77,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,0.79,162.21,32.0,979.82,6.887368881325193
Bac Giang,2023,II,53.61,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,0.85,185.25,32.58,998.6,6.906354298066509
Bac Giang,2024,II,55.76,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,0.65,210.41,33.67,1018.29,6.925880028840684
Bac Kan,2018,III,85.14,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,0.82,51.7,17.7,213.47,5.363496307573008
Bac Kan,2019,III,86.85,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.07,57.48,16.1,208.95,5.342094988893924
Bac Kan,2020,III,87.14,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,0.88,63.59,16.32,204.33,5.319736333921337
Bac Kan,2021,III,79.3,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.86,98.12,27.02,140.08,4.942213687977596
Bac Kan,2022,III,74.9,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,3.16,103.22,27.58,147.14,4.9913845145041185
Bac Kan,2023,III,76.28,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,3.42,113.92,27.99,148.76,5.0023342690568695
Bac Kan,2024,III,75.28,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,3.23,123.07,29.04,152.65,5.028147719180887
Bac Lieu,2018,III,88.19,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.66,80.24,8.2,494.5,6.203547151062767
Bac Lieu,2019,III,87.96,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,3.74,83.31,8.8,500.89,6.216386516099603
Bac Lieu,2020,III,88.94,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,3.48,89.22,10.27,491.64,6.19774674134678
Bac Lieu,2021,III,88.52,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,2.35,100.38,10.66,470.71,6.154242193135749
Bac Lieu,2022,II,87.43,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,2.12,117.18,12.19,472.95,6.158989674659179
Bac Lieu,2023,II,86.1,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,2.05,125.74,13.06,474.25,6.161734608815124
